buildNo,shortVIN,date,extColor,intColor,trans
1,VM12956,2012-4-3,LeMans Blue,Blk/Blue,DCT
2,VM13274,2012-4-4,Carbon Black,Blk/Blue,DCT
3,VM13278,2012-4-5,Carbon Black,Blk/Blue,DCT
4,VM13287,2012-4-6,Alpine White,Blk Sensatec,M6
5,VM13289,2012-4-7,Carbon Black,Blk/Blue,DCT
6,VM13292,2012-4-8,Jet Black,Black,DCT
7,VM13298,2012-4-9,Carbon Black,Blk/Blue,DCT
8,VM13299,2012-4-10,Alpine White,Blk/Blue,DCT
9,VM13309,2012-4-11,LeMans Blue,Blk/Blue,M6
10,VM13310,2012-4-12,LeMans Blue,Blk/Blue,M6
11,VM13311,2012-4-13,LeMans Blue,Blk/Blue,M6
12,VM13312,2012-4-14,Carbon Black,Blk/Blue,DCT
13,VM13315,2012-4-15,Jet Black,Blk Sensatec,M6
14,VM13320,2012-4-16,Alpine White,Blk/Blue,DCT
15,VM13324,2012-4-17,LeMans Blue,Blk/Blue,M6
16,VM13327,2012-4-18,Carbon Black,Coral,DCT
17,VM13329,2012-4-19,Carbon Black,Blk/Blue,M6
18,VM13330,2012-4-20,LeMans Blue,Blk/Blue,DCT
19,VM13331,2012-4-21,Space Gray,Coral,DCT
20,VM13332,2012-4-22,Mineral Gray,Blk/Blue,DCT
21,VM13333,2012-4-23,Jet Black,Black,M6
22,VM13334,2012-4-24,Alpine White,Black,M6
23,VM13336,2012-4-25,Space Gray,Blk/Blue,M6
24,VM13337,2012-4-26,Alpine White,Blk/Blue,DCT
25,VM13340,2012-4-27,LeMans Blue,Blk/Blue,DCT
26,VM13342,2012-4-28,Mineral Gray,Blk Sensatec,M6
27,VM13346,2012-4-29,Jet Black,Black,DCT
28,VM13348,2012-4-30,Titanium Silver,Blk Sensatec,DCT
29,VM13351,2012-5-1,Vermillion Red,Coral,DCT
30,VM13355,2012-5-2,Alpine White,Black,DCT
31,VM13361,2012-5-3,Carbon Black,Black,DCT
32,VM13367,2012-5-4,LeMans Blue,Blk/Blue,M6
33,VM13368,2012-5-5,Carbon Black,Blk/Blue,M6
34,VM13369,2012-5-6,Mineral Gray,Coral,DCT
35,VM13370,2012-5-7,Carbon Black,Coral,DCT
36,VM13374,2012-5-8,LeMans Blue,Blk/Blue,DCT
37,VM13376,2012-5-9,Mineral Gray,Blk/Blue,M6
38,VM13379,2012-5-10,Alpine White,Beige,M6
39,VM13382,2012-5-11,Alpine White,Blk/Blue,DCT
40,VM13388,2012-5-12,LeMans Blue,Blk/Blue,DCT
41,VM13398,2012-5-13,LeMans Blue,Blk/Blue,DCT
42,VM13404,2012-5-14,Carbon Black,Blk/Blue,DCT
43,VM13408,2012-5-15,Carbon Black,Blk/Blue,DCT
44,VM13409,2012-5-16,Alpine White,Coral,DCT
45,VM13419,2012-5-17,Alpine White,Blk Sensatec,DCT
46,VM13422,2012-5-18,Titanium Silver,Coral,DCT
47,VM13423,2012-5-19,Space Gray,Coral,M6
48,VM13426,2012-5-20,LeMans Blue,Blk/Blue,M6
49,VM13427,2012-5-21,LeMans Blue,Oyster,M6
50,VM13430,2012-5-22,LeMans Blue,Blk/Blue,M6
51,VM13436,2012-5-23,Carbon Black,Black,DCT
52,VM13440,2012-5-24,LeMans Blue,Blk/Blue,M6
53,VM13442,2012-5-25,Carbon Black,Blk/Blue,DCT
54,VM13443,2012-5-26,Alpine White,Blk/Blue,M6
55,VM13447,2012-5-27,Carbon Black,Oyster,DCT
56,VM13455,2012-5-28,Alpine White,Blk/Blue,M6
57,VM13459,2012-5-29,Jet Black,Blk/Blue,DCT
58,VM13462,2012-5-30,Carbon Black,Blk/Blue,DCT
59,VM13463,2012-5-31,Carbon Black,Blk/Blue,DCT
60,VM13464,2012-6-1,Carbon Black,Black,M6
61,VM13465,2012-6-2,Carbon Black,Black,DCT
62,VM13466,2012-6-3,Titanium Silver,Blk Sensatec,DCT
63,VM13478,2012-6-4,Carbon Black,Blk/Blue,DCT
64,VM13479,2012-6-5,Mineral Gray,Coral,M6
65,VM13480,2012-6-6,Carbon Black,Blk Sensatec,M6
66,VM13487,2012-6-7,Alpine White,Black,DCT
67,VM13490,2012-6-8,LeMans Blue,Blk Sensatec,DCT
68,VM13493,2012-6-9,Alpine White,Blk/Blue,DCT
69,VM13494,2012-6-10,Vermillion Red,Black,DCT
70,VM13495,2012-6-11,Jet Black,Blk/Blue,DCT
71,VM13497,2012-6-12,Alpine White,Blk/Blue,M6
72,VM13501,2012-6-13,Alpine White,Blk/Blue,DCT
73,VM13502,2012-6-14,Alpine White,Coral,DCT
74,VM13504,2012-6-15,Mineral Gray,Blk/Blue,DCT
75,VM13507,2012-6-16,Jet Black,Blk Sensatec,DCT
76,VM13511,2012-6-17,Jet Black,Black,DCT
77,VM13512,2012-6-18,LeMans Blue,Blk/Blue,M6
78,VM13515,2012-6-19,Carbon Black,Black,M6
79,VM13516,2012-6-20,Alpine White,Blk Sensatec,DCT
80,VM13521,2012-6-21,Mineral Gray,Blk Sensatec,DCT
81,VM13526,2012-6-22,Alpine White,Coral,M6
82,VM13527,2012-6-23,Carbon Black,Blk/Blue,DCT
83,VM13529,2012-6-24,LeMans Blue,Blk/Blue,DCT
84,VM13530,2012-6-25,LeMans Blue,Blk/Blue,DCT
85,VM13532,2012-6-26,Deep Sea Blue,Blk/Blue,M6
86,VM13535,2012-6-27,Alpine White,Black,DCT
87,VM13539,2012-6-28,Deep Sea Blue,Terra,DCT
88,VM13541,2012-6-29,LeMans Blue,Blk/Blue,M6
89,VM13543,2012-6-30,LeMans Blue,Blk/Blue,M6
90,VM13544,2012-7-1,Jet Black,Blk/Blue,DCT
91,VM13545,2012-7-2,Alpine White,Taupe,M6
92,VM13546,2012-7-3,LeMans Blue,Blk/Blue,DCT
93,VM13547,2012-7-4,Space Gray,Black,M6
94,VM13548,2012-7-5,Mineral Gray,Coral,DCT
95,VM13549,2012-7-6,Vermillion Red,Beige,M6
96,VM13553,2012-7-7,Alpine White,Black,DCT
97,VM13554,2012-7-8,Alpine White,Black,M6
98,VM13557,2012-7-9,Space Gray,Terra,M6
99,VM13558,2012-7-10,LeMans Blue,Blk/Blue,M6
100,VM13559,2012-7-11,Carbon Black,Blk/Blue,M6
101,VM13560,2012-7-12,LeMans Blue,Blk/Blue,DCT
102,VM13561,2012-7-13,Alpine White,Black,DCT
103,VM13563,2012-7-14,Sapphire Black,Black,DCT
104,VM13568,2012-7-15,Vermillion Red,Coral,M6
105,VM13569,2012-7-16,Alpine White,Blk/Blue,M6
106,VM13571,2012-7-17,Alpine White,Blk Sensatec,M6
107,VM13573,2012-7-18,Carbon Black,Blk/Blue,M6
108,VM13577,2012-7-19,Carbon Black,Black,DCT
109,VM13578,2012-7-20,Jet Black,Terra,M6
110,VM13579,2012-7-21,Carbon Black,Blk Sensatec,M6
111,VM13581,2012-7-22,Jet Black,Blk Sensatec,DCT
112,VM13587,2012-7-23,Vermillion Red,Oyster,M6
113,VM13589,2012-7-24,Space Gray,Taupe,DCT
114,VM13590,2012-7-25,Titanium Silver,Coral,DCT
115,VM13593,2012-7-26,Cashmere Silver,Blk/Blue,M6
116,VM13594,2012-7-27,Alpine White,Coral,DCT
117,VM13608,2012-7-28,Alpine White,Black,DCT
118,VM13611,2012-7-29,Carbon Black,Blk/Blue,M6
119,VM13612,2012-7-30,Deep Sea Blue,Oyster,M6
120,VM13613,2012-7-31,LeMans Blue,Blk/Blue,DCT
121,VM13618,2012-8-1,Carbon Black,Oyster,DCT
122,VM13621,2012-8-2,Carbon Black,Black,DCT
123,VM13623,2012-8-3,Jet Black,Black,M6
124,VM13624,2012-8-4,LeMans Blue,Blk/Blue,DCT
125,VM13626,2012-8-5,Mineral Gray,Blk/Blue,DCT
126,VM13630,2012-8-6,LeMans Blue,Terra,DCT
127,VM13631,2012-8-7,LeMans Blue,Blk/Blue,M6
128,VM13632,2012-8-8,Jet Black,Black,M6
129,VM13633,2012-8-9,LeMans Blue,Blk Sensatec,DCT
130,VM13634,2012-8-10,LeMans Blue,Blk/Blue,DCT
131,VM13635,2012-8-11,Space Gray,Blk Sensatec,M6
132,VM13636,2012-8-12,Carbon Black,Blk/Blue,DCT
133,VM13638,2012-8-13,Space Gray,Black,DCT
134,VM13639,2012-8-14,Jet Black,Black,M6
135,VM13640,2012-8-15,Mineral Gray,Black,M6
136,VM13642,2012-8-16,Alpine White,Blk/Blue,M6
137,VM13643,2012-8-17,Mineral Gray,Black,M6
138,VM13648,2012-8-18,Jet Black,Blk Sensatec,DCT
139,VM13649,2012-8-19,Mineral Gray,Coral,DCT
140,VM13650,2012-8-20,Jet Black,Coral,DCT
141,VM13651,2012-8-21,Carbon Black,Blk/Blue,DCT
142,VM13653,2012-8-22,Carbon Black,Blk/Blue,DCT
